-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 07/01/2010 through 09/30/2010 
Location: Latitude  28.42   Longitude 77.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,WS2M,T2M,TS,QV2M,RH2M,PRECTOTCORR,PS
2010,7,1,2.12,38.83,41.82,11.96,27.5,2.17,97.07
2010,7,2,2.3,37.24,41.0,13.92,34.88,0.47,97.34
2010,7,3,2.68,35.81,37.77,16.54,44.5,8.92,97.37
2010,7,4,3.19,31.6,31.62,19.35,65.25,32.23,97.52
2010,7,5,3.65,30.15,30.55,19.96,72.88,14.98,97.5
2010,7,6,2.85,30.75,31.51,20.14,71.5,11.64,97.51
2010,7,7,1.92,32.23,33.17,19.17,63.75,15.59,97.68
2010,7,8,1.83,33.53,35.59,18.55,57.38,0.8,97.74
2010,7,9,1.43,35.3,37.24,18.62,52.38,0.85,97.44
2010,7,10,2.41,35.84,37.02,18.31,49.81,2.62,97.29
2010,7,11,3.19,35.54,36.05,18.98,51.88,6.02,97.17
2010,7,12,2.77,33.27,33.37,20.26,61.75,26.53,97.1
2010,7,13,1.66,32.66,33.79,19.23,61.94,5.53,97.42
2010,7,14,1.46,33.38,35.06,18.13,56.75,0.0,97.56
2010,7,15,1.7,34.0,35.53,16.91,51.75,0.26,97.47
2010,7,16,2.11,33.76,35.38,18.86,57.12,0.52,97.31
2010,7,17,2.66,33.59,34.95,20.02,60.75,0.07,97.33
2010,7,18,2.91,33.77,34.62,20.57,61.81,2.21,97.2
2010,7,19,4.16,31.87,32.4,21.24,70.38,6.36,97.04
2010,7,20,3.59,29.97,30.48,20.63,76.06,21.94,97.23
2010,7,21,2.0,29.67,30.36,19.41,73.44,5.34,97.36
2010,7,22,2.14,29.58,30.32,19.23,73.38,18.13,97.46
2010,7,23,1.19,31.12,32.24,18.74,66.31,3.56,97.3
2010,7,24,1.18,32.38,33.43,19.04,61.94,0.67,97.02
2010,7,25,1.5,31.37,32.15,20.81,70.62,0.19,96.92
2010,7,26,4.16,30.37,30.66,20.08,72.31,1.46,97.1
2010,7,27,6.02,29.05,29.62,19.84,77.19,3.91,97.28
2010,7,28,3.61,28.74,29.19,19.41,76.81,1.87,97.51
2010,7,29,0.85,31.19,32.19,20.69,71.88,8.35,97.39
2010,7,30,1.45,31.56,32.29,20.51,69.62,3.68,97.35
2010,7,31,2.84,28.41,28.55,21.24,85.19,37.68,97.49
2010,8,1,3.34,28.35,28.8,20.39,82.94,7.03,97.53
2010,8,2,3.14,28.82,29.32,20.02,79.38,1.32,97.37
2010,8,3,4.09,29.34,30.02,20.32,78.25,1.47,97.22
2010,8,4,3.38,29.48,29.85,21.06,79.88,6.39,97.16
2010,8,5,2.84,27.96,28.0,21.24,87.38,2.02,97.51
2010,8,6,2.62,29.25,29.59,20.75,80.38,0.32,97.77
2010,8,7,3.09,29.65,30.3,20.39,77.56,0.14,97.66
2010,8,8,2.71,29.89,30.78,19.9,75.0,0.59,97.52
2010,8,9,1.66,30.35,31.56,19.84,72.81,0.29,97.47
2010,8,10,1.19,31.26,32.22,20.08,69.81,12.42,97.5
2010,8,11,1.79,30.9,31.0,21.18,74.62,15.01,97.5
2010,8,12,1.06,30.45,30.8,21.06,75.94,3.21,97.58
2010,8,13,0.62,30.7,31.21,20.26,72.62,7.97,97.6
2010,8,14,0.88,29.62,29.76,20.87,78.31,37.32,97.53
2010,8,15,1.36,29.69,30.02,21.36,80.38,12.18,97.66
2010,8,16,1.16,29.74,30.01,21.42,80.31,4.47,97.74
2010,8,17,0.83,30.08,30.42,21.42,78.62,1.5,97.39
2010,8,18,1.27,28.7,28.76,21.97,86.44,3.25,97.38
2010,8,19,0.98,28.33,28.37,22.16,89.38,74.04,97.6
2010,8,20,2.0,27.83,27.87,21.79,90.56,16.31,97.77
2010,8,21,3.09,27.45,27.25,21.67,91.75,25.53,97.54
2010,8,22,3.77,27.01,26.69,21.24,92.12,24.81,97.36
2010,8,23,3.04,28.37,28.44,21.55,86.62,11.05,97.34
2010,8,24,1.95,29.95,29.67,21.55,79.81,8.61,97.29
2010,8,25,1.75,28.73,29.06,21.18,84.06,2.79,97.61
2010,8,26,1.8,27.02,27.01,20.2,88.19,2.71,97.8
2010,8,27,0.73,28.26,28.39,19.53,79.75,8.23,97.71
2010,8,28,0.55,29.12,28.91,20.39,79.0,2.42,97.62
2010,8,29,1.02,29.51,29.52,20.14,77.19,0.99,97.58
2010,8,30,1.09,28.73,28.93,21.06,83.38,0.54,97.45
2010,8,31,1.84,28.46,28.36,21.06,84.62,0.69,97.46
2010,9,1,1.32,28.65,28.78,21.55,85.69,3.16,97.67
2010,9,2,1.01,29.2,29.37,21.61,83.38,5.8,97.68
2010,9,3,1.0,28.97,28.9,21.79,84.94,22.6,97.58
2010,9,4,0.62,28.37,28.12,20.45,82.69,9.12,97.49
2010,9,5,1.2,27.6,27.81,20.63,87.25,8.0,97.62
2010,9,6,0.95,28.24,28.56,21.12,86.0,3.49,97.54
2010,9,7,1.73,27.74,27.73,21.55,89.94,8.22,97.46
2010,9,8,2.88,27.56,27.55,21.12,89.38,4.86,97.67
2010,9,9,2.95,27.86,28.01,21.12,88.0,3.53,97.74
2010,9,10,2.74,27.62,27.83,21.0,88.44,5.73,97.59
2010,9,11,0.8,27.23,27.21,19.96,86.12,7.82,97.64
2010,9,12,1.16,27.94,28.14,20.39,84.81,11.67,97.75
2010,9,13,1.52,27.02,26.87,20.69,90.25,18.86,97.66
2010,9,14,0.73,27.24,27.34,19.59,84.56,7.92,97.62
2010,9,15,1.37,27.36,27.33,19.35,83.38,0.8,97.71
2010,9,16,1.21,26.66,26.3,17.52,78.69,0.76,97.79
2010,9,17,1.11,26.38,25.67,15.99,73.38,1.2,97.77
2010,9,18,1.81,24.87,24.95,18.13,89.75,3.76,97.76
2010,9,19,3.04,23.73,23.64,17.7,93.75,33.08,97.91
2010,9,20,3.24,25.23,25.12,18.68,90.75,18.68,97.87
2010,9,21,1.9,26.77,26.87,19.96,88.56,20.05,97.84
2010,9,22,1.41,25.51,25.28,19.17,91.25,24.81,97.91
2010,9,23,0.98,26.19,26.44,18.37,84.94,4.65,97.91
2010,9,24,1.2,25.6,25.57,17.21,82.44,0.1,98.02
2010,9,25,1.55,26.31,25.72,17.03,78.44,0.0,98.14
2010,9,26,1.34,25.48,24.23,14.95,73.0,0.0,98.3
2010,9,27,1.74,24.33,23.17,13.24,69.38,0.0,98.32
2010,9,28,1.77,24.35,22.93,12.76,66.88,0.0,98.29
2010,9,29,1.38,25.07,23.75,13.49,67.38,0.0,98.36
2010,9,30,1.36,25.44,24.01,14.22,69.12,0.0,98.33
