-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 07/01/2002 through 09/30/2002 
Location: Latitude  28.42   Longitude 77.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,WS2M,T2M,TS,QV2M,RH2M,PRECTOTCORR,PS
2002,7,1,3.11,38.64,39.9,12.57,30.25,0.04,96.92
2002,7,2,3.84,38.7,40.1,12.82,30.19,0.04,96.99
2002,7,3,3.59,38.73,40.3,13.31,31.12,0.11,96.93
2002,7,4,2.84,38.59,40.69,13.12,30.62,1.6,96.96
2002,7,5,2.59,37.53,39.35,14.16,34.88,0.28,97.12
2002,7,6,3.13,37.04,38.32,13.85,35.06,0.08,97.14
2002,7,7,4.27,37.18,38.61,12.08,30.62,0.0,97.01
2002,7,8,4.3,37.37,38.82,11.29,28.25,0.0,97.01
2002,7,9,4.52,37.11,38.47,12.08,30.25,0.0,97.1
2002,7,10,4.45,37.73,39.4,10.99,26.94,0.37,97.07
2002,7,11,3.95,37.13,38.55,9.77,24.94,0.0,96.95
2002,7,12,3.66,37.97,39.34,9.4,23.38,0.02,97.01
2002,7,13,3.73,38.13,39.75,8.24,20.5,0.03,97.14
2002,7,14,3.91,37.93,39.91,10.13,24.88,0.02,97.16
2002,7,15,3.88,38.51,40.58,10.31,25.06,0.0,97.15
2002,7,16,3.33,38.72,40.92,10.38,24.38,0.03,97.17
2002,7,17,2.55,39.32,41.59,9.89,22.38,0.06,97.19
2002,7,18,2.55,38.57,41.46,13.0,30.25,0.13,97.31
2002,7,19,1.93,39.42,42.75,13.98,31.06,1.5,97.23
2002,7,20,3.31,40.1,41.87,11.6,25.62,2.19,97.0
2002,7,21,4.57,37.68,39.03,13.43,32.56,1.08,96.9
2002,7,22,4.04,37.38,39.28,13.24,32.5,0.13,96.92
2002,7,23,4.17,36.04,36.94,13.0,34.06,0.0,97.18
2002,7,24,4.46,36.36,37.89,12.33,32.12,0.24,97.19
2002,7,25,3.86,36.85,38.34,11.47,29.19,0.0,97.18
2002,7,26,3.78,36.01,37.4,11.41,30.25,0.08,97.12
2002,7,27,2.81,36.98,38.98,11.6,29.5,0.16,97.12
2002,7,28,2.7,37.73,39.89,11.78,28.62,0.01,97.26
2002,7,29,3.29,38.34,40.37,11.29,26.88,0.0,97.12
2002,7,30,2.07,38.3,40.44,11.05,25.94,0.03,97.1
2002,7,31,0.97,38.41,41.01,11.29,26.25,0.94,97.16
2002,8,1,1.57,37.98,41.08,13.31,31.94,0.14,97.26
2002,8,2,2.09,38.58,41.58,13.31,31.25,0.52,97.22
2002,8,3,2.28,37.92,40.48,12.7,31.44,1.09,97.12
2002,8,4,3.23,34.76,36.93,15.44,43.88,0.76,97.27
2002,8,5,1.5,34.28,36.73,15.44,44.88,0.09,97.22
2002,8,6,1.87,34.17,35.8,15.38,44.62,0.7,97.19
2002,8,7,1.2,35.8,38.05,15.26,41.12,0.31,97.19
2002,8,8,0.88,36.37,38.66,16.05,41.69,2.02,97.11
2002,8,9,0.97,36.57,39.33,16.05,41.94,0.86,96.99
2002,8,10,2.72,36.53,38.29,15.2,40.56,2.07,96.92
2002,8,11,4.05,35.76,36.51,15.26,41.62,1.89,96.93
2002,8,12,2.0,30.37,30.51,19.47,69.94,27.13,97.1
2002,8,13,1.34,28.48,28.89,19.84,79.38,23.91,97.1
2002,8,14,2.45,29.58,30.8,18.74,71.75,2.61,97.24
2002,8,15,0.88,30.71,32.29,17.82,64.0,0.5,97.25
2002,8,16,1.49,33.35,34.26,15.62,49.88,0.01,97.08
2002,8,17,1.46,33.94,34.54,14.47,44.62,0.0,97.01
2002,8,18,1.7,33.18,34.54,14.95,48.88,1.63,97.19
2002,8,19,2.05,32.98,34.54,16.17,52.75,0.05,97.26
2002,8,20,2.09,33.99,34.88,14.53,46.38,0.2,97.13
2002,8,21,1.84,33.19,34.04,15.56,50.25,7.35,97.35
2002,8,22,2.35,31.26,33.0,17.64,61.94,1.36,97.75
2002,8,23,1.35,30.98,32.39,17.27,61.62,2.34,97.86
2002,8,24,3.17,30.32,31.29,18.01,66.19,3.85,98.0
2002,8,25,3.75,30.87,32.41,17.88,64.19,0.25,97.85
2002,8,26,3.05,30.16,31.33,17.58,65.0,0.1,97.88
2002,8,27,3.08,29.02,29.54,18.07,70.12,3.82,97.81
2002,8,28,2.53,32.67,33.44,15.75,51.0,0.13,97.79
2002,8,29,1.31,30.73,31.23,18.07,64.5,8.8,97.91
2002,8,30,1.56,29.35,29.9,18.62,72.06,1.73,97.92
2002,8,31,1.69,31.87,33.35,16.85,57.75,0.57,97.81
2002,9,1,2.46,31.95,33.51,16.6,56.5,0.63,97.84
2002,9,2,2.0,30.92,32.19,17.58,62.81,5.97,97.93
2002,9,3,1.78,30.48,31.59,17.88,65.31,6.15,97.81
2002,9,4,2.09,30.31,31.83,17.52,64.81,1.95,97.64
2002,9,5,2.57,29.62,31.25,17.46,67.75,2.14,97.69
2002,9,6,2.37,27.81,29.58,16.66,71.69,4.76,97.76
2002,9,7,2.18,27.86,29.44,16.24,69.38,1.66,97.67
2002,9,8,1.59,28.75,30.63,16.66,68.19,0.22,97.7
2002,9,9,1.46,29.67,31.36,15.75,61.75,0.08,97.68
2002,9,10,1.7,29.7,31.01,15.44,59.88,0.39,97.7
2002,9,11,1.84,28.48,29.47,16.05,66.81,14.04,97.86
2002,9,12,2.2,25.99,26.44,17.52,81.88,20.55,97.95
2002,9,13,2.35,25.2,25.38,17.64,86.38,69.31,98.01
2002,9,14,1.27,28.23,28.07,16.97,71.88,5.11,97.98
2002,9,15,1.38,27.66,27.29,14.71,64.5,6.85,98.01
2002,9,16,1.42,27.96,28.0,14.71,62.62,0.15,97.92
2002,9,17,1.35,28.23,28.2,14.34,61.25,0.54,97.86
2002,9,18,0.81,27.93,28.21,15.08,65.94,4.15,98.09
2002,9,19,1.29,28.98,28.98,15.32,63.19,0.0,98.3
2002,9,20,1.53,28.5,28.47,14.53,61.12,0.0,98.35
2002,9,21,1.8,27.65,27.57,13.18,58.94,0.0,98.14
2002,9,22,1.49,27.15,27.82,15.32,69.12,0.1,98.04
2002,9,23,1.38,27.86,28.69,15.62,67.81,0.0,97.97
2002,9,24,1.24,28.44,29.08,14.77,62.94,0.0,97.78
2002,9,25,1.35,28.45,28.54,13.73,58.81,0.0,97.95
2002,9,26,1.84,28.55,28.04,11.72,51.19,0.0,98.09
2002,9,27,1.55,27.58,27.41,10.93,50.19,0.0,98.12
2002,9,28,1.14,27.83,27.92,11.29,51.81,0.0,98.18
2002,9,29,1.41,28.62,27.87,10.68,45.81,0.0,98.24
2002,9,30,1.62,27.24,26.8,9.28,44.62,0.0,98.24
