-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 07/01/2006 through 09/30/2006 
Location: Latitude  28.42   Longitude 77.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,WS2M,T2M,TS,QV2M,RH2M,PRECTOTCORR,PS
2006,7,1,1.65,35.03,37.08,16.85,48.0,0.02,97.06
2006,7,2,1.34,36.69,38.69,16.3,42.5,0.09,96.88
2006,7,3,2.59,36.12,38.4,17.4,46.25,0.01,96.98
2006,7,4,2.88,36.08,38.33,16.54,44.25,0.06,97.04
2006,7,5,4.38,34.99,36.53,17.52,49.31,0.08,97.04
2006,7,6,2.73,34.86,37.23,18.07,50.94,0.07,97.07
2006,7,7,1.82,36.95,39.01,17.4,44.31,0.01,96.85
2006,7,8,4.29,36.55,37.15,18.19,46.06,2.38,96.75
2006,7,9,4.23,32.05,32.12,19.04,62.31,12.27,96.84
2006,7,10,2.97,30.25,30.95,19.96,72.44,21.47,97.04
2006,7,11,2.77,29.82,30.85,19.84,74.06,10.28,97.01
2006,7,12,1.86,30.19,30.79,20.39,74.25,9.19,96.99
2006,7,13,1.49,31.8,33.44,19.71,66.88,0.72,96.98
2006,7,14,1.75,32.8,34.34,18.01,57.94,0.05,97.02
2006,7,15,2.05,33.83,35.05,16.11,49.44,0.0,97.07
2006,7,16,1.77,33.91,34.84,16.3,48.94,0.18,97.12
2006,7,17,2.21,33.11,34.85,18.01,57.25,1.85,97.09
2006,7,18,2.43,31.15,32.53,19.53,67.88,6.44,97.2
2006,7,19,1.61,31.75,33.55,19.35,66.06,7.77,97.22
2006,7,20,2.23,31.64,33.33,18.8,64.06,2.99,97.38
2006,7,21,3.4,32.03,33.66,18.07,61.06,0.62,97.4
2006,7,22,4.0,30.64,31.65,18.13,64.88,0.32,97.51
2006,7,23,3.9,31.66,33.1,18.8,64.25,0.01,97.45
2006,7,24,2.82,30.96,32.1,19.29,67.94,0.47,97.52
2006,7,25,1.37,30.53,31.55,20.26,72.88,15.68,97.43
2006,7,26,2.65,27.23,27.18,21.0,89.75,61.72,97.4
2006,7,27,3.08,26.62,26.49,20.51,90.81,23.57,97.18
2006,7,28,2.34,26.87,26.81,20.02,87.44,5.16,96.95
2006,7,29,2.73,27.66,27.85,20.32,85.06,1.68,97.14
2006,7,30,3.57,29.68,29.99,20.75,78.44,0.46,97.37
2006,7,31,4.53,28.96,29.23,20.14,79.38,2.18,97.39
2006,8,1,3.8,29.07,29.58,20.63,80.56,5.11,97.29
2006,8,2,2.81,29.27,29.95,19.78,76.62,0.81,97.37
2006,8,3,2.12,27.58,27.94,19.84,83.81,3.03,97.46
2006,8,4,2.42,28.5,28.98,19.71,79.62,0.57,97.57
2006,8,5,3.51,27.67,28.01,19.47,82.12,0.44,97.69
2006,8,6,3.4,28.76,29.52,19.65,78.62,3.45,97.56
2006,8,7,3.74,28.56,29.27,19.53,78.81,0.73,97.43
2006,8,8,3.16,28.92,29.83,19.59,77.69,0.77,97.29
2006,8,9,2.94,29.26,30.16,19.59,76.25,0.98,97.26
2006,8,10,3.07,29.83,30.63,20.08,75.38,0.97,97.2
2006,8,11,2.69,30.4,31.31,20.02,73.12,0.01,97.24
2006,8,12,2.14,30.15,30.73,19.59,72.06,0.0,97.28
2006,8,13,1.62,31.25,31.8,19.9,69.06,0.16,97.3
2006,8,14,1.25,31.61,32.48,19.17,65.81,4.52,97.23
2006,8,15,2.45,30.58,31.47,19.65,70.56,0.49,97.18
2006,8,16,2.37,30.62,31.26,19.59,70.44,0.58,97.23
2006,8,17,2.27,31.77,32.62,19.23,65.06,0.01,97.36
2006,8,18,2.87,31.83,32.79,17.82,60.75,0.39,97.51
2006,8,19,3.23,30.3,31.08,18.86,68.69,0.32,97.5
2006,8,20,3.63,30.42,31.4,18.86,69.0,0.26,97.49
2006,8,21,1.8,31.32,32.82,18.62,64.94,0.03,97.48
2006,8,22,1.01,31.65,33.12,18.49,63.0,0.13,97.47
2006,8,23,0.73,30.87,31.7,19.04,66.88,9.85,97.56
2006,8,24,1.94,31.62,32.53,18.31,62.69,2.34,97.52
2006,8,25,2.73,29.7,30.12,17.64,66.12,0.63,97.68
2006,8,26,3.7,31.83,32.7,17.4,58.44,0.15,97.42
2006,8,27,2.56,31.87,33.07,16.91,56.56,0.31,97.21
2006,8,28,2.18,31.86,33.16,16.91,56.88,0.03,97.34
2006,8,29,1.2,30.9,31.4,17.64,62.19,25.4,97.59
2006,8,30,2.66,28.69,29.6,18.55,74.75,8.8,97.85
2006,8,31,3.36,27.93,28.51,18.49,77.56,8.53,97.62
2006,9,1,4.81,26.28,26.51,18.55,84.75,29.09,97.28
2006,9,2,2.09,26.93,27.08,19.04,83.94,30.65,97.51
2006,9,3,1.19,28.74,28.92,17.64,71.75,2.12,97.93
2006,9,4,1.5,28.24,28.63,17.21,71.81,0.0,97.87
2006,9,5,1.32,28.78,29.55,18.8,75.25,0.02,97.85
2006,9,6,2.95,28.23,28.57,19.29,79.25,0.34,97.78
2006,9,7,2.27,29.51,30.12,19.53,75.44,0.19,97.78
2006,9,8,2.02,29.97,30.7,18.25,69.19,0.26,97.84
2006,9,9,2.74,30.33,30.96,18.01,66.0,0.2,97.89
2006,9,10,2.75,30.07,30.62,17.82,66.94,0.01,97.87
2006,9,11,2.22,30.93,31.37,17.7,62.75,0.01,97.64
2006,9,12,1.7,31.55,32.01,16.36,57.06,0.04,97.62
2006,9,13,1.23,30.65,30.73,16.36,59.19,12.99,97.9
2006,9,14,0.82,30.3,30.76,16.72,62.75,6.01,97.95
2006,9,15,1.08,29.84,30.56,16.66,63.75,0.73,98.0
2006,9,16,1.37,29.69,30.51,16.66,64.38,0.06,98.07
2006,9,17,0.91,30.61,31.58,16.42,61.12,0.0,97.87
2006,9,18,0.95,30.73,31.75,16.48,61.0,0.22,97.75
2006,9,19,1.77,30.52,31.28,15.87,59.5,0.03,97.7
2006,9,20,1.97,30.44,31.26,16.42,61.5,0.44,97.78
2006,9,21,1.32,30.2,31.22,16.85,63.81,1.91,97.71
2006,9,22,1.02,29.62,30.04,15.62,60.81,5.47,97.69
2006,9,23,1.34,29.77,29.71,13.55,53.5,0.2,97.87
2006,9,24,1.8,28.91,28.81,12.02,49.5,0.0,97.94
2006,9,25,1.66,29.05,28.19,10.86,44.62,0.0,98.03
2006,9,26,1.72,28.55,28.19,11.17,47.19,0.0,97.99
2006,9,27,1.99,28.66,28.97,11.84,50.56,0.0,97.9
2006,9,28,1.99,28.55,28.94,11.6,50.0,0.0,98.04
2006,9,29,1.81,27.76,28.01,10.07,45.75,0.0,98.15
2006,9,30,1.23,28.4,28.53,10.74,46.0,0.0,98.21
