-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 07/01/2020 through 09/30/2020 
Location: Latitude  28.42   Longitude 77.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,WS2M,T2M,TS,QV2M,RH2M,PRECTOTCORR,PS
2020,7,1,1.73,36.51,40.11,16.42,43.06,0.06,97.25
2020,7,2,2.36,37.51,40.59,16.42,40.38,0.59,97.04
2020,7,3,2.49,37.57,39.83,17.4,42.25,5.54,97.0
2020,7,4,2.12,36.66,38.61,18.13,46.81,8.88,96.97
2020,7,5,1.79,31.83,32.8,20.69,68.19,22.41,97.08
2020,7,6,1.77,33.7,35.92,17.33,53.25,0.13,97.04
2020,7,7,4.05,31.26,32.94,18.19,62.75,4.52,97.38
2020,7,8,2.63,31.4,33.35,18.92,65.38,4.01,97.48
2020,7,9,2.0,33.3,35.32,19.35,59.81,2.3,97.17
2020,7,10,3.91,35.34,36.83,17.33,49.19,2.64,96.97
2020,7,11,2.48,34.58,36.1,18.19,52.38,2.8,97.03
2020,7,12,1.7,33.05,34.69,19.23,59.5,3.34,97.18
2020,7,13,2.32,33.43,35.7,18.49,57.5,0.03,97.23
2020,7,14,1.56,34.94,37.37,16.42,47.38,0.0,97.29
2020,7,15,2.31,34.65,37.04,17.27,50.19,0.13,97.32
2020,7,16,2.82,33.69,35.94,18.13,54.94,0.88,97.24
2020,7,17,2.72,32.97,34.37,20.14,62.56,9.62,97.33
2020,7,18,1.45,33.48,34.63,20.69,63.19,14.66,97.38
2020,7,19,2.56,33.15,33.98,21.79,67.31,12.01,97.22
2020,7,20,2.52,33.63,34.51,19.78,60.19,12.42,97.08
2020,7,21,1.82,31.24,31.96,20.94,72.06,16.3,97.37
2020,7,22,1.89,28.5,28.58,20.45,81.69,42.11,97.51
2020,7,23,1.79,30.24,31.39,18.62,68.88,0.72,97.46
2020,7,24,2.02,30.69,31.83,18.13,65.56,1.25,97.68
2020,7,25,2.36,30.62,31.63,19.29,69.69,6.03,97.86
2020,7,26,0.95,31.37,32.53,19.23,67.06,4.3,97.82
2020,7,27,1.9,32.94,33.81,18.8,60.19,0.01,97.57
2020,7,28,1.9,34.03,34.69,19.59,58.75,5.05,97.33
2020,7,29,2.3,33.09,33.86,19.23,61.25,8.17,97.35
2020,7,30,1.33,30.33,31.08,20.69,75.06,10.53,97.58
2020,7,31,1.29,31.68,32.77,20.94,70.56,4.32,97.46
2020,8,1,1.14,32.09,32.64,20.32,67.19,3.78,97.42
2020,8,2,1.71,32.39,32.94,19.78,63.94,3.85,97.23
2020,8,3,2.45,32.98,33.48,20.87,65.56,1.47,96.84
2020,8,4,1.9,33.18,34.08,20.45,63.81,1.25,96.71
2020,8,5,1.89,31.52,31.89,20.87,70.12,3.9,96.88
2020,8,6,4.52,31.45,32.03,19.71,68.38,1.94,97.19
2020,8,7,3.44,31.24,32.32,20.51,71.38,0.7,97.36
2020,8,8,0.7,32.53,33.84,20.32,65.44,4.21,97.22
2020,8,9,0.66,31.88,32.49,20.63,68.06,6.71,97.14
2020,8,10,1.44,30.94,31.79,21.73,75.94,6.14,97.24
2020,8,11,1.3,29.76,30.05,22.22,82.56,13.99,97.25
2020,8,12,2.15,30.72,30.93,22.46,79.38,31.94,97.15
2020,8,13,1.58,29.84,30.37,22.58,83.69,13.77,97.09
2020,8,14,1.84,28.92,29.3,22.28,86.5,8.13,97.03
2020,8,15,2.2,29.66,30.23,21.42,80.44,0.61,97.03
2020,8,16,1.49,30.67,31.59,21.91,77.94,0.24,97.12
2020,8,17,1.69,31.01,31.42,22.71,78.88,20.47,97.17
2020,8,18,1.33,29.66,29.75,23.32,86.75,21.23,97.22
2020,8,19,1.12,29.22,29.13,23.44,89.19,23.55,97.16
2020,8,20,1.55,27.79,27.78,21.91,90.94,22.76,97.44
2020,8,21,2.59,28.06,28.12,19.96,82.75,1.54,97.67
2020,8,22,2.85,28.11,28.36,20.02,82.5,0.21,97.58
2020,8,23,3.05,28.11,28.37,20.51,84.25,0.83,97.39
2020,8,24,3.14,28.37,28.6,20.39,82.69,0.25,97.39
2020,8,25,2.36,28.91,29.38,20.94,82.19,0.03,97.57
2020,8,26,2.3,28.68,29.06,20.87,82.88,0.08,97.71
2020,8,27,1.62,29.2,29.29,20.45,78.75,4.22,97.65
2020,8,28,1.0,29.54,29.82,20.32,77.19,12.97,97.5
2020,8,29,1.59,28.75,29.15,20.39,80.94,6.72,97.5
2020,8,30,4.72,27.75,27.81,20.02,83.62,0.89,97.4
2020,8,31,3.2,28.15,28.47,19.29,79.75,0.41,97.68
2020,9,1,1.66,28.76,29.49,19.96,79.56,0.0,97.79
2020,9,2,1.3,28.81,29.45,19.29,77.19,0.0,98.0
2020,9,3,1.9,28.39,28.35,20.14,81.75,0.23,98.06
2020,9,4,1.72,29.3,29.74,20.45,79.38,0.64,97.93
2020,9,5,1.08,28.93,29.35,20.51,80.75,9.56,97.78
2020,9,6,0.76,28.86,28.92,19.71,78.06,0.68,97.71
2020,9,7,1.02,29.16,29.58,19.84,77.12,10.37,97.76
2020,9,8,1.56,29.01,29.07,19.04,75.19,3.9,97.83
2020,9,9,1.23,29.59,29.6,18.37,70.12,0.01,97.83
2020,9,10,1.54,30.08,29.94,18.43,68.25,0.0,97.56
2020,9,11,1.24,30.23,30.36,18.07,67.0,0.0,97.58
2020,9,12,1.32,29.76,29.9,17.64,67.44,0.0,97.89
2020,9,13,1.13,29.81,29.4,15.75,60.38,0.01,97.88
2020,9,14,1.1,29.87,29.06,14.4,54.06,0.01,97.79
2020,9,15,1.09,29.99,29.33,14.65,54.75,0.0,97.73
2020,9,16,1.25,30.99,30.65,16.05,56.62,0.0,97.69
2020,9,17,2.02,31.16,31.24,17.7,62.12,0.0,97.64
2020,9,18,2.17,31.19,31.25,16.6,58.75,0.0,97.57
2020,9,19,1.36,30.79,31.22,16.3,58.81,0.01,97.56
2020,9,20,1.55,30.17,30.63,15.32,58.06,0.0,97.51
2020,9,21,1.59,30.12,30.08,14.4,54.31,0.0,97.43
2020,9,22,1.25,30.61,31.68,16.72,60.69,0.0,97.45
2020,9,23,1.36,30.72,32.18,18.43,66.0,0.01,97.47
2020,9,24,1.37,30.97,31.47,16.24,58.88,0.0,97.63
2020,9,25,1.58,30.6,30.15,12.45,47.06,0.0,97.6
2020,9,26,1.3,30.21,30.19,13.0,48.94,0.02,97.64
2020,9,27,1.21,29.72,30.05,12.82,50.38,0.0,97.87
2020,9,28,1.77,29.33,29.12,11.54,46.69,0.0,98.0
2020,9,29,1.94,28.2,28.3,11.47,49.69,0.0,97.95
2020,9,30,2.13,27.79,28.04,11.11,49.88,0.0,97.86
