-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 07/01/2016 through 09/30/2016 
Location: Latitude  28.42   Longitude 77.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,WS2M,T2M,TS,QV2M,RH2M,PRECTOTCORR,PS
2016,7,1,2.4,35.34,36.53,20.08,55.31,10.61,96.93
2016,7,2,1.55,33.1,35.15,19.53,61.19,10.84,97.07
2016,7,3,0.9,31.61,33.33,18.86,63.25,16.45,97.18
2016,7,4,1.15,30.37,31.31,19.9,71.62,27.46,97.11
2016,7,5,1.91,33.97,35.41,18.92,56.75,0.57,96.98
2016,7,6,1.91,35.83,37.23,18.74,51.12,0.56,97.0
2016,7,7,1.03,35.12,37.4,17.52,50.19,0.09,97.14
2016,7,8,1.34,35.56,36.95,17.33,48.0,1.18,97.05
2016,7,9,1.28,34.65,36.87,16.48,48.62,0.42,97.04
2016,7,10,1.3,33.87,36.09,17.76,54.0,5.09,96.99
2016,7,11,2.11,33.26,35.62,18.31,57.38,2.47,97.11
2016,7,12,1.96,31.52,33.01,19.53,66.31,4.31,97.27
2016,7,13,1.32,32.05,32.94,20.08,65.62,11.62,97.25
2016,7,14,0.7,30.55,31.15,20.39,72.31,12.37,97.21
2016,7,15,1.73,30.81,31.55,21.24,75.12,21.78,97.23
2016,7,16,2.29,29.11,29.62,21.0,81.19,39.33,97.33
2016,7,17,2.08,28.31,28.61,20.94,84.69,42.5,97.5
2016,7,18,2.53,28.14,28.36,20.57,84.19,13.67,97.47
2016,7,19,2.84,29.77,29.96,20.14,75.81,0.36,97.38
2016,7,20,2.45,31.05,31.09,19.35,68.19,0.04,97.36
2016,7,21,2.62,31.56,31.67,19.35,66.5,2.25,97.32
2016,7,22,1.91,30.39,30.5,19.65,71.06,2.77,97.3
2016,7,23,1.93,30.51,31.4,19.47,71.31,0.94,97.49
2016,7,24,0.98,29.93,31.3,19.1,71.88,0.93,97.66
2016,7,25,0.92,30.93,31.82,19.17,68.5,3.27,97.58
2016,7,26,2.3,29.4,30.01,20.57,78.75,3.87,97.66
2016,7,27,2.36,27.73,28.05,20.14,84.75,7.43,97.82
2016,7,28,0.63,27.62,28.06,19.17,81.06,14.93,97.66
2016,7,29,0.75,28.6,29.16,19.9,79.31,36.02,97.46
2016,7,30,0.55,28.4,28.7,20.26,81.81,21.43,97.49
2016,7,31,0.93,28.56,28.95,20.2,80.94,6.81,97.44
