-BEGIN HEADER-,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,
Dates (month/day/year): 07/01/2000 through 09/30/2000 ,,,,,,,,,
Location: Latitude  28.42   Longitude 77.0 ,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,
Parameter(s): ,,,,,,,,,
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,,,
T2M             MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,
TS              MERRA-2 Earth Skin Temperature (C) ,,,,,,,,,
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,
PS              MERRA-2 Surface Pressure (kPa) ,,,,,,,,,
-END HEADER-,,,,,,,,,
YEAR,MO,DY,WS2M,T2M,TS,QV2M,RH2M,PRECTOTCORR,PS
2000,7,1,1.87,32.1,33.28,19.9,65.25,17.12,97.24
2000,7,2,1.4,33.59,35.77,17.82,55.12,2.87,97.21
2000,7,3,2.01,33.35,35.65,17.33,54.25,0.68,97.24
2000,7,4,1.21,34.02,35.91,16.48,49.44,0.01,97.23
2000,7,5,1.04,36.33,38.15,15.75,42.38,0.02,97.12
2000,7,6,1.93,37.43,38.44,14.47,36.81,0.07,96.96
2000,7,7,2.65,33.26,33.71,17.33,53.06,3.33,97.01
2000,7,8,2.73,34.94,35.99,17.7,51.62,1.89,96.89
2000,7,9,2.09,34.69,36.32,17.33,51,0.61,96.79
2000,7,10,2.7,35.26,36.46,17.15,48.88,5.43,96.73
2000,7,11,3.12,34.35,36.21,17.15,51.94,2.68,96.87
2000,7,12,3.41,31.85,33.39,19.35,64.5,5.09,97.04
2000,7,13,3.74,31.18,31.87,19.84,68.12,1.81,97
2000,7,14,3.77,30.65,31.33,20.32,71.88,1.85,96.93
2000,7,15,3.2,32.24,33.99,19.29,64,1.54,96.79
2000,7,16,3.09,30.1,30.58,20.63,74.94,19.23,96.86
2000,7,17,1.71,28.88,29.1,21.61,83.81,31.67,96.95
2000,7,18,1.06,30.81,31.67,20.02,71,7.47,96.86
2000,7,19,0.84,30.47,31.4,18.8,67.44,0.74,96.95
2000,7,20,2.12,31.35,32.8,18.86,65.31,0.57,97.07
2000,7,21,4.91,30.07,31.24,19.53,72.06,2.31,97.07
2000,7,22,3.67,27.54,28.18,18.01,76.5,3.26,97.33
2000,7,23,3.33,27.96,28.83,17.4,72.12,5.56,97.32
2000,7,24,2.77,28.8,28.77,17.82,70.38,19.74,97.25
2000,7,25,2.51,30.98,31.48,16.24,58.12,1.01,97.41
2000,7,26,2.57,32.26,32.48,16.3,54.44,0.46,97.33
2000,7,27,1.91,31.87,32.67,15.69,53.94,0.17,97.36
2000,7,28,1.77,30.31,31.05,17.58,64.44,0.62,97.46
2000,7,29,1.05,31.95,33.18,17.09,58,0.14,97.49
2000,7,30,1.7,31.64,31.86,18.62,63.56,21.44,97.53
2000,7,31,2.58,30.01,30.24,17.94,66.69,1.24,97.41
2000,8,1,2.9,29.95,30.31,16.91,63.12,0.19,97.24
2000,8,2,2.8,30.95,31.69,16.24,57.62,0.04,97.32
2000,8,3,2.75,31.33,31.81,15.99,55.62,0.46,97.37
2000,8,4,2.44,32.08,32.84,16.3,54.88,0.61,97.48
2000,8,5,2.76,32.81,33.59,15.62,50.5,0,97.41
2000,8,6,2.54,33.49,34.48,15.93,49.5,0,97.36
2000,8,7,2.41,33.91,34.77,15.5,47.31,0.03,97.35
2000,8,8,2.24,34.92,35.33,14.89,43.19,0,97.33
2000,8,9,1.89,34.54,35.45,15.69,46.19,0.03,97.24
2000,8,10,2.53,32.05,33.21,18.19,60.94,5.49,97.36
2000,8,11,2.59,28.76,29.36,19.17,76.06,1.55,97.45
2000,8,12,2.74,31.12,32.59,18.49,65.5,1.13,97.52
2000,8,13,1.52,31.7,33.38,18.8,64.25,1.15,97.64
2000,8,14,0.55,32.18,33.62,19.04,62.88,11,97.49
2000,8,15,1.57,30.56,31.03,19.53,70.06,28.34,97.45
2000,8,16,2.56,29.37,29.74,18.86,72.25,8.27,97.42
2000,8,17,3.07,32.3,32.7,17.46,57.5,0.65,97.17
2000,8,18,1.92,32.34,33.22,16.85,55.69,0.34,97.26
2000,8,19,1.75,29.4,29.88,20.39,77.75,9.32,97.47
2000,8,20,1.77,29.65,30.46,20.02,75.81,9.24,97.43
2000,8,21,1.32,30.31,31.35,18.98,69.56,10.27,97.3
2000,8,22,1.88,30,30.77,19.78,73.5,1.73,97.48
2000,8,23,1.26,29.56,30.24,20.63,78.5,2.4,97.54
2000,8,24,1.78,31.33,32.33,20.2,70.25,0.49,97.38
2000,8,25,2.31,31.16,31.82,20.08,70.06,10.12,97.45
2000,8,26,2.78,29.88,30.69,19.1,72.25,0.14,97.59
2000,8,27,1.16,30.88,31.9,18.13,64.62,0.06,97.43
2000,8,28,1.91,33.82,34.36,19.04,58.25,0.4,97.07
2000,8,29,3.16,32.01,32.48,18.43,60.69,4.76,97.05
2000,8,30,3.09,31.94,32,17.82,59.44,2.29,96.92
2000,8,31,2.71,32.37,32.77,16.97,55.12,0.32,96.95
2000,9,1,2.2,32.79,33.38,15.93,51.69,0,97.1
2000,9,2,1.97,32.87,33.51,15.14,48.81,0.04,97.22
2000,9,3,1.52,31.69,32.3,17.27,59.38,13.1,97.34
2000,9,4,2.12,29.98,31.22,18.37,69.19,0.97,97.52
2000,9,5,1.56,31.62,33.05,17.4,61.12,0.8,97.39
2000,9,6,2.02,32.78,33.62,16.6,54.88,0.98,97.23
2000,9,7,2.26,33.22,33.48,16.17,52.44,0.3,97.35
2000,9,8,1.94,32.52,33.12,14.34,48.12,1.28,97.58
2000,9,9,1.8,31.99,32.52,14.34,50.25,0.49,97.58
2000,9,10,2.32,32.21,32.78,13.67,45.75,0.6,97.47
2000,9,11,2.32,31.68,32.23,13.06,45.75,1.48,97.47
2000,9,12,2.3,31.74,32.13,11.9,42.62,0,97.61
2000,9,13,2.52,31.84,32.25,10.62,37.5,0,97.78
2000,9,14,2.44,31.44,31.94,10.5,38.56,0,97.74
2000,9,15,1.37,30.97,32.1,13.43,49.56,0.49,97.7
2000,9,16,1.23,32.12,32.84,12.51,45.25,0.01,97.68
2000,9,17,1.76,31.88,31.81,8.48,30.25,0,97.81
2000,9,18,2.34,31.9,31.99,9.28,32.75,0,97.69
2000,9,19,1.76,31.45,32.08,11.11,40.81,0.25,97.81
2000,9,20,2.02,30.07,31.84,14.22,55.88,0.25,98.06
2000,9,21,1.85,29.95,31.72,13.98,55.12,0.06,98.2
2000,9,22,1.57,30.42,31.89,13.18,50.62,0,98.25
2000,9,23,1.02,31.1,32.31,11.78,43.31,0,98.13
2000,9,24,1.15,30.94,31.43,11.47,42.31,0.01,98.05
2000,9,25,1.24,31.34,31.42,9.83,36.06,0.51,97.93
2000,9,26,1.88,29.73,30.08,10.56,43.44,0.68,98.03
2000,9,27,1.89,29.48,30.08,9.16,38.19,1.01,98.06
2000,9,28,1.17,28.81,29.62,8.12,35.69,0,98
2000,9,29,1.12,29.23,29.11,7.87,32.94,0.05,98.04
