-BEGIN HEADER-,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,
Dates (month/day/year): 07/01/2001 through 09/30/2001 ,,,,,,,,,
Location: Latitude  28.42   Longitude 77.0 ,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,
Parameter(s): ,,,,,,,,,
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,,,
T2M             MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,
TS              MERRA-2 Earth Skin Temperature (C) ,,,,,,,,,
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,
PS              MERRA-2 Surface Pressure (kPa) ,,,,,,,,,
-END HEADER-,,,,,,,,,
YEAR,MO,DY,WS2M,T2M,TS,QV2M,RH2M,PRECTOTCORR,PS
2001,7,1,1.41,32.18,34.08,18.68,61.69,2.05,97.39
2001,7,2,1.04,32.27,33.9,18.68,60.69,1.08,97.24
2001,7,3,2.56,33.07,34.16,17.52,54.5,0.14,97
2001,7,4,3.51,33.62,35.37,17.88,54.25,0.05,96.95
2001,7,5,1.76,34.38,37.05,17.52,51.44,0.83,97.02
2001,7,6,1.6,34.68,37.3,18.13,52.12,0.49,97.02
2001,7,7,2.23,32.97,33.87,19.65,61.69,9.91,97.12
2001,7,8,1.08,33.35,35.73,18.31,58.19,0.83,97.1
2001,7,9,1.97,34.7,36.89,16.72,48.5,2,97.02
2001,7,10,2.98,34.08,35.37,17.21,50.81,0.16,97.13
2001,7,11,3.67,33.01,34.17,17.46,54.31,0.33,97.11
2001,7,12,3.27,32.95,34.57,17.88,56.38,0.91,97.15
2001,7,13,1.98,32.13,34.46,18.43,60.81,3.99,97.29
2001,7,14,4.05,29.26,29.53,18.25,69.62,18.34,97.33
2001,7,15,3.88,31.53,32.46,17.94,61.44,7.76,97.13
2001,7,16,2.64,32.36,34.09,17.88,58.56,2.62,97.09
2001,7,17,1.59,32.71,35.03,17.76,56.88,0.47,97.22
2001,7,18,1.37,33.98,35.79,17.58,52.81,0.58,97.16
2001,7,19,1.45,34.3,36.48,17.33,51.94,1.72,97.05
2001,7,20,2.33,31.93,33.32,18.68,62.56,2.48,97.19
2001,7,21,1.81,31.33,32.63,19.17,66.19,4.43,97.18
2001,7,22,1.34,30.92,32.25,20.39,71.69,12.79,97.34
2001,7,23,2.36,31.58,32.99,19.96,68.31,0.54,97.38
2001,7,24,2.53,32.47,34.12,19.41,63.44,4.57,97.29
2001,7,25,1.46,32.69,34.37,20.02,64.62,5.9,97.24
2001,7,26,1.93,30.44,30.91,21.12,75.38,11.57,97.37
2001,7,27,2.56,31.3,32.26,20.2,69.62,9.55,97.25
2001,7,28,2.95,31.65,32.43,19.84,67.44,3.31,97.16
2001,7,29,3.39,30.99,32.15,18.49,64.88,0.72,97.25
2001,7,30,2.51,30.56,31.84,17.27,62.62,0.23,97.37
2001,7,31,2.16,32.26,33.7,16.17,54.38,0.02,97.49
2001,8,1,2.87,32.07,33.11,15.14,51.44,0,97.34
2001,8,2,3.43,32.28,33.24,14.83,49.56,0.05,97.19
2001,8,3,1.83,32.03,33.8,15.62,53.19,0.17,97.43
2001,8,4,2.77,31.38,32.57,18.92,65.31,0.76,97.79
2001,8,5,2.09,30.44,31.4,19.78,71.94,2.68,97.82
2001,8,6,1.86,28.98,29.16,20.63,80.38,21.07,97.72
2001,8,7,2.08,29.81,30.79,19.84,75.19,5.79,97.62
2001,8,8,1.73,30.5,31.61,19.71,71.69,1.12,97.58
2001,8,9,1.05,29.47,29.61,20.14,76.62,13.77,97.79
2001,8,10,1.45,29.85,30.16,20.63,77.12,26.92,97.74
2001,8,11,2.19,30.94,31.85,19.9,71.31,2.23,97.67
2001,8,12,0.94,32.45,33.4,19.65,64.56,0.38,97.45
2001,8,13,1.14,32.21,32.76,20.39,66.88,12.05,97.35
2001,8,14,1.23,30.48,30.53,20.87,75.12,9.22,97.58
2001,8,15,0.71,31.12,32.15,20.63,71.94,3.52,97.64
2001,8,16,1.27,31.44,32.29,20.87,71.31,1.41,97.37
2001,8,17,1.99,31.13,31.91,20.57,71.56,1.22,97.19
2001,8,18,2.8,31.55,32.12,18.43,63.94,0.86,97.18
2001,8,19,2.35,30.85,31.57,16.91,61.44,0.07,97.39
2001,8,20,1.65,31.08,32.1,17.33,61.56,0.17,97.58
2001,8,21,1.35,32.4,33.05,16.78,55.75,0.04,97.55
2001,8,22,2.32,32.12,32.58,15.87,53.44,0.12,97.29
2001,8,23,1.94,31.38,32.12,15.93,56.38,0.05,97.36
2001,8,24,2.13,31.43,32.3,16.97,59.25,0.42,97.46
2001,8,25,2.2,32,32.68,16.42,55.25,0.45,97.56
2001,8,26,2.93,31.5,32.38,15.75,54.94,0.13,97.47
2001,8,27,3.19,31.05,31.98,14.34,51.81,0.05,97.3
2001,8,28,3.41,30.9,31.73,14.22,51.94,0.33,97.13
2001,8,29,2.34,30.62,31.73,14.1,52.19,0.25,97.14
2001,8,30,1.36,30.77,32.05,14.65,53.62,0.61,97.27
2001,8,31,1.62,31.8,33.09,15.75,54.62,0.26,97.34
2001,9,1,1.92,32.75,33.57,16.11,52.5,0,97.44
2001,9,2,1.86,32.21,32.25,16.72,55.38,21.97,97.5
2001,9,3,1.9,31.86,32.29,15.93,55.25,3.72,97.62
2001,9,4,2.45,31.45,32.17,15.32,54.12,0.04,97.64
2001,9,5,2.51,31,31.82,15.32,55.19,2.82,97.61
2001,9,6,1.86,30.76,31.52,15.44,57,0.24,97.75
2001,9,7,1.77,31.62,32.4,14.71,51.19,0.17,97.88
2001,9,8,2.03,31.57,32.24,14.34,50.31,0.48,97.95
2001,9,9,2.44,31.73,32.19,13.12,46.5,0.17,97.76
2001,9,10,2.49,31.51,32.05,13.43,47.75,0.03,97.59
2001,9,11,2.01,31.53,32.26,13.73,48.69,0,97.63
2001,9,12,1.52,32.1,33.15,14.22,48.62,0.05,97.78
2001,9,13,1.59,31.82,32.89,14.04,49,0.03,97.77
2001,9,14,1.27,31.14,32.39,14.53,52.88,3.77,97.93
2001,9,15,1.96,30.72,31.8,13.79,51.81,0.06,98.11
2001,9,16,1.95,30.18,31.44,12.7,49.06,0,98.05
2001,9,17,2.16,30.58,31.01,11.47,43.94,0,97.89
2001,9,18,2.24,30.65,30.71,10.07,38.81,0,97.75
2001,9,19,2.42,29.99,30.19,8.61,35.12,0,97.77
2001,9,20,1.78,30.4,30.38,9.16,35.81,0,97.87
2001,9,21,1.77,31.07,30.9,9.34,35,0,98.08
2001,9,22,1.94,30.73,31.45,9.77,37.44,0,98.04
2001,9,23,1.21,30.87,31.4,8.97,33.81,0,97.99
2001,9,24,1.11,29.97,30.65,8.18,33.44,0,97.97
2001,9,25,1.4,30.21,30.98,8.3,33.81,0,97.91
2001,9,26,1.31,30.34,30.51,8.18,32.81,0,97.91
2001,9,27,2,29.92,29.44,6.65,27.31,0,97.89
2001,9,28,1.14,30.05,29.78,7.08,28.69,0,97.85
2001,9,29,1.86,29.58,30.57,10.13,41.12,0.23,97.88
2001,9,30,2.34,30.87,32.1,14.47,51.94,0.12,97.92
