-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 07/01/2014 through 09/30/2014 
Location: Latitude  28.42   Longitude 77.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,WS2M,T2M,TS,QV2M,RH2M,PRECTOTCORR,PS
2014,7,1,1.82,35.7,38.06,14.22,38.5,0.44,97.39
2014,7,2,1.28,35.29,38.07,15.26,43.31,7.3,97.49
2014,7,3,2.14,32.76,34.38,17.03,54.38,4.9,97.24
2014,7,4,2.27,34.23,36.15,15.26,45.88,0.71,97.12
2014,7,5,2.16,35.44,37.48,14.95,41.69,0.01,97.3
2014,7,6,1.92,36.17,37.95,13.98,37.69,0.36,97.4
2014,7,7,2.38,35.98,37.92,12.45,34.06,0.2,97.27
2014,7,8,3.7,35.94,37.35,11.47,31.38,0.01,97.13
2014,7,9,3.76,36.21,37.79,11.11,29.69,0.17,97.09
2014,7,10,3.6,37.26,38.98,9.95,25.31,0.0,97.13
2014,7,11,3.08,38.01,40.16,9.89,23.94,0.0,97.1
2014,7,12,1.67,38.1,40.8,10.99,26.5,0.09,97.04
2014,7,13,1.56,37.01,39.0,13.24,35.25,10.12,97.15
2014,7,14,1.95,34.32,35.76,16.97,50.31,6.48,97.17
2014,7,15,2.16,35.64,37.88,15.32,42.88,0.76,96.99
2014,7,16,2.55,32.58,34.12,18.68,59.38,1.48,97.18
2014,7,17,1.11,32.19,33.29,19.35,63.44,31.62,97.04
2014,7,18,1.52,30.94,32.66,19.78,69.5,11.5,96.94
2014,7,19,1.86,32.59,34.3,17.58,57.75,1.51,96.91
2014,7,20,1.93,32.68,34.15,17.09,56.0,1.75,97.08
2014,7,21,1.4,33.62,35.46,15.38,48.12,0.02,97.06
2014,7,22,1.41,34.11,36.01,16.05,47.94,2.23,97.14
2014,7,23,2.84,32.14,33.12,18.07,58.94,0.0,97.19
2014,7,24,2.52,30.88,31.9,17.82,62.5,0.11,97.3
